0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
20   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/transmart/transmart-miktmc/transmart-data/solr/contexts at interval 0
25   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/transmart/transmart-miktmc/transmart-data/solr/contexts/solr-jetty-context.xml
63   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/transmart/transmart-miktmc/transmart-data/solr/webapps/solr.war!/ to /home/transmart/transmart-miktmc/transmart-data/solr/solr-webapp/webapp
1093 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1676 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
1676 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
1677 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-dataimporthandler-4.5.0.jar' to classloader
1677 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
1677 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
1677 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
1678 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
1678 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-core-1.4.jar' to classloader
1678 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-core-1.4.jar' to classloader
1679 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
1679 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
1679 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
1679 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
1680 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-cell-4.5.0.jar' to classloader
